2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Count,66
ACT,101,Canberra,1,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Percent,4.31
ACT,101,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,41533
ACT,101,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,44.99
ACT,101,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,98
ACT,101,Canberra,1,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,6.4
ACT,101,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Count,0
ACT,101,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,101,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Count,-2546
ACT,101,Canberra,2,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Percent,-100
ACT,101,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,101,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,101,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,101,Canberra,2,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,101,Canberra,2,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Count,6276
ACT,101,Canberra,2,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Percent,6.8
ACT,101,Canberra,2,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Count,1299
ACT,101,Canberra,2,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Percent,51.02
ACT,101,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Count,21250
ACT,101,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Percent,23.02
ACT,101,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Count,845
ACT,101,Canberra,2,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Percent,33.19
ACT,101,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Count,23030
ACT,101,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Percent,24.95
ACT,101,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Count,169
ACT,101,Canberra,2,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Percent,6.64
ACT,101,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,41766
ACT,101,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,45.24
ACT,101,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,233
ACT,101,Canberra,2,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,9.15
ACT,101,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Count,0
ACT,101,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,101,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,101,Canberra,3,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,101,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,101,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,101,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,101,Canberra,3,2,37456,MILES,James,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,101,Canberra,3,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Count,0
ACT,101,Canberra,3,3,32830,BOHM,Tim,IND,Independent,N,N,Preference Percent,0
ACT,101,Canberra,3,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Count,-6276
ACT,101,Canberra,3,3,32830,BOHM,Tim,IND,Independent,N,N,Transfer Percent,-100
ACT,101,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Count,23390
ACT,101,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,N,N,Preference Percent,25.34
ACT,101,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Count,2140
ACT,101,Canberra,3,4,37211,MINSON,Slade,LP,Liberal,N,N,Transfer Percent,34.1
ACT,101,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Count,25423
ACT,101,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Preference Percent,27.54
ACT,101,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Count,2393
ACT,101,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,N,N,Transfer Percent,38.13
ACT,101,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,43509
ACT,101,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,47.13
