CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED513,440,104,1435,670,356,243,154,296,39,3748,9,8,4,14,3,8,6,21,4,75,183,284,132,170,163,77,60,92,39,1186,148,220,226,155,145,69,112,123,246,1449,11442,32012,9126,8125,8562,3676,2313,3671,1019,79939
CED514,377,124,1494,689,452,300,308,411,40,4192,7,6,16,15,10,8,13,21,4,93,120,222,147,145,123,52,115,96,42,1063,155,173,305,187,188,103,187,190,358,1841,8957,24166,10600,8575,8226,3692,3799,4330,1202,73548
CED515,318,73,841,446,340,205,176,218,20,2648,6,3,4,7,0,6,6,15,3,51,125,189,100,114,127,54,85,65,27,894,128,168,203,116,127,92,73,121,262,1285,9958,26532,8181,6543,8028,3340,2232,2713,911,68438
CED594,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
CED597,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
CED601,251,57,684,360,202,208,130,276,25,2199,0,3,6,5,0,3,0,15,0,36,68,79,66,70,46,32,42,43,15,442,97,65,156,87,100,61,108,161,140,985,4291,9191,5131,4949,3328,1753,1605,2390,502,33142
CED602,250,64,675,397,178,207,104,291,17,2182,4,0,0,5,6,3,0,7,0,23,48,48,49,61,33,21,43,50,13,369,142,54,179,147,83,95,135,213,142,1193,3916,6483,5428,4763,2931,1525,1746,2659,483,29935
CED603,249,68,781,328,224,147,56,201,30,2083,3,7,8,9,8,8,8,10,0,53,103,182,71,109,86,34,41,51,31,715,93,107,126,131,93,69,66,115,142,945,5396,14574,5085,5964,4380,2227,1235,2560,660,42085
CED604,255,81,691,371,271,164,68,193,34,2118,3,4,3,11,5,7,3,3,7,41,107,123,55,85,86,27,26,41,20,561,86,80,139,130,86,63,41,111,120,853,5562,11705,5771,4991,4420,1722,992,2082,591,37845
CED605,274,46,716,375,261,207,120,283,31,2302,7,3,0,9,3,5,0,7,0,28,75,60,65,57,56,25,53,46,19,451,155,75,198,147,112,98,111,197,145,1232,4601,5865,5854,4622,3577,1506,1578,2470,560,30640
CED694,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,9,12,45,34,22,20,10,7,28,5,181
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
CED701,237,83,509,344,275,129,84,181,21,1856,0,7,0,15,0,3,4,6,0,47,79,96,66,122,61,18,34,46,14,534,146,185,230,305,131,83,114,201,245,1641,4662,8291,5329,5452,3750,1142,1246,1920,684,32483
CED702,254,88,753,414,307,164,97,194,17,2286,4,0,8,12,4,6,0,9,0,56,124,125,105,139,80,26,44,55,25,722,107,107,169,184,148,67,75,109,214,1187,5996,13082,6192,6299,5425,2015,1448,2093,729,43288
CED794,0,0,6,0,0,0,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,11,0,0,0,5,0,0,0,12,8,26,44,104,33,42,35,18,16,73,13,378
CED797,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
CED801,292,121,749,375,456,163,90,158,42,2446,0,5,7,6,6,4,4,4,0,36,223,245,72,86,173,26,43,41,42,954,128,152,157,110,160,61,55,91,194,1108,11412,21076,6556,5783,8832,1991,1183,1806,1205,59850
CED802,228,81,528,255,207,109,32,110,16,1545,7,7,0,12,8,7,4,8,3,54,412,461,49,100,187,35,11,41,49,1356,127,181,74,96,95,46,22,63,196,901,14966,28718,3884,4888,7284,1989,681,1766,1375,65549
CED803,348,130,1021,421,485,199,123,190,40,2959,3,0,9,6,9,9,5,6,3,46,229,236,81,157,198,51,52,56,41,1103,136,179,151,155,163,77,59,99,281,1304,11594,22556,7123,7431,9536,2815,1415,2285,1352,66105
CED894,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
