CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED206,174,369,804,789,744,644,199,18,0,3744,164,298,731,769,839,628,210,36,7,3685,4611,6890,15912,16977,17690,14016,4026,473,26,80620
CED207,68,265,604,520,585,442,173,36,0,2692,119,388,1096,956,799,507,156,48,10,4092,3834,9794,19667,19228,18112,12454,3504,549,46,87202
CED208,57,196,774,644,554,355,83,13,0,2673,75,327,1067,812,612,374,117,25,3,3409,2522,6875,24186,20538,16690,9952,2283,198,23,83259
CED209,112,302,606,625,520,383,118,16,0,2676,103,176,505,576,536,363,132,31,10,2439,4469,6545,15289,16950,15367,11557,3401,400,33,73999
CED210,104,272,638,491,454,387,100,27,0,2472,124,338,739,592,588,425,142,39,8,2994,4132,7532,18293,15822,15220,11631,2998,331,25,75988
CED211,96,281,631,668,721,557,151,20,0,3130,99,296,813,834,776,532,160,42,11,3566,4245,7220,16968,19802,18320,13176,3565,450,40,83785
CED212,98,282,710,631,616,452,132,25,0,2940,110,270,745,857,808,615,182,44,11,3649,4150,6348,15873,17440,17214,12717,3323,389,26,77486
CED213,107,231,493,429,566,490,172,31,4,2519,157,207,439,515,668,577,233,90,12,2897,4205,5359,10946,12431,15368,13127,4679,723,46,66888
CED214,43,263,966,766,613,361,100,6,0,3119,109,487,1616,1097,885,599,134,20,0,4954,2380,8059,26170,20144,14750,9319,2009,138,3,82979
CED215,80,227,673,757,582,362,89,4,0,2779,112,388,1156,1246,762,426,107,25,9,4232,3515,6683,21332,28899,18999,10703,2159,176,15,92478
CED216,143,256,574,457,453,397,137,18,0,2431,157,220,474,454,509,469,194,78,14,2571,4035,5097,12401,12183,13102,12613,3984,645,69,64133
CED217,78,186,374,412,565,400,151,22,0,2191,126,238,585,734,838,539,235,61,17,3368,4044,6393,12465,16247,19949,14125,4820,782,62,78879
CED218,73,268,789,715,667,406,104,9,0,3025,175,455,1130,1167,921,583,128,6,0,4559,4167,7747,18798,20753,17484,10933,2236,158,9,82283
CED219,140,313,768,653,564,352,120,11,0,2917,160,349,855,864,716,427,122,23,3,3525,4073,7009,18397,18406,15494,10481,2505,224,15,76596
CED220,51,240,657,414,399,307,101,20,6,2193,70,310,1168,806,651,409,178,64,12,3667,2622,8630,26952,18737,15643,11195,4298,826,89,88994
CED221,89,342,933,865,579,393,84,7,0,3289,180,538,1479,1397,1020,701,138,15,8,5479,3947,8554,22659,24132,16666,10115,1976,138,16,88199
CED222,76,348,906,858,831,498,132,18,0,3676,132,621,1901,1438,1118,797,195,29,10,6244,3378,9937,25799,21179,17553,11811,2980,276,22,92931
CED223,139,249,553,484,513,450,176,20,0,2584,180,222,451,491,607,503,250,87,20,2801,4618,5255,12794,13784,15493,14646,5225,947,113,72871
CED224,94,243,539,658,655,498,159,24,0,2865,100,282,791,916,927,630,167,37,8,3864,3866,6378,16117,19863,19289,12772,3509,393,33,82227
