CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED301,88,67,208,345,462,769,1731,2209,905,6785,16,27,90,92,158,164,136,74,46,801,711,849,1808,1614,1366,1163,1009,873,503,9895,5658,12178,27805,25666,23233,20745,15411,8029,2545,141283
CED302,24,18,71,109,208,352,926,1507,899,4115,8,25,79,65,103,98,111,107,71,669,261,377,847,831,752,652,610,672,565,5564,4083,9792,20179,24464,22949,18201,13756,8117,3392,124934
CED303,35,16,97,145,226,384,1166,1621,820,4507,3,13,28,45,61,57,60,59,23,341,258,290,639,694,805,830,939,867,753,6082,4331,8180,16080,19537,21780,21845,19039,10442,3796,125020
CED304,16,28,92,97,135,175,356,616,416,1919,0,28,117,74,78,59,51,61,58,535,285,998,2668,1610,1067,929,689,525,336,9111,4541,18868,42950,28518,23590,17524,11328,5724,2264,155298
CED305,41,42,152,233,384,671,1629,2277,987,6409,0,12,69,59,80,90,63,56,43,482,767,1190,2940,2548,2496,2145,1322,939,538,14889,4548,9262,21586,21000,20674,20525,14706,7783,2798,122880
CED306,34,56,139,231,308,642,1458,2088,997,5958,10,19,58,56,80,76,75,70,37,487,677,995,2375,2105,2163,1979,1369,1028,566,13267,4320,9778,21486,20978,21867,21476,15741,8196,2901,126740
CED307,24,25,94,129,190,295,836,1339,548,3469,19,9,45,63,72,79,70,38,27,413,284,343,782,741,768,580,592,481,315,4891,4491,9290,18989,22267,23438,18879,14324,7035,2051,120757
CED308,63,51,133,221,278,524,1062,1251,603,4188,11,22,89,111,86,89,109,90,51,658,628,804,1867,1555,1516,1171,1240,1131,651,10554,5206,12102,25921,25569,25878,22725,19683,11416,3567,152055
CED309,34,29,59,107,172,347,790,1341,828,3721,5,13,43,43,57,57,43,41,28,338,392,487,1120,1271,1220,1086,1089,1044,841,8539,4033,8072,18230,21509,23215,22683,20371,11565,4420,134098
CED310,51,22,87,120,200,349,983,1686,952,4443,12,16,29,41,51,51,51,45,29,326,489,518,1254,1151,1160,1166,1192,1070,763,8760,4767,9184,19501,20784,22560,22343,20610,12551,4621,136934
