region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,299,281,580,348,324,672,259,929,1188,530,2550,3080,3287,1636,4923,2959,1118,4077,2640,1023,3663,2734,1135,3869,2870,863,3733,5504,996,6500,4379,184,4563,4122,663,4785,2511,66,2577,1082,41,1123,1265,43,1308,5787,378,6165,742,608,1350,41318,12838,54156
CED502,300,330,630,419,347,766,247,1026,1273,588,2829,3417,3622,1854,5476,3141,1287,4428,2993,1070,4063,2739,1059,3798,2793,757,3550,4919,947,5866,3973,141,4114,3592,611,4203,2312,55,2367,938,23,961,1273,46,1319,5144,301,5445,746,735,1481,39739,13418,53157
CED503,267,221,488,332,181,513,195,614,809,370,1659,2029,2184,1168,3352,2186,917,3103,2313,822,3135,2585,968,3553,2812,699,3511,5417,759,6176,5040,116,5156,4124,478,4602,2760,59,2819,1259,27,1286,1563,34,1597,4513,269,4782,554,363,917,38474,9354,47828
CED504,344,549,893,283,483,766,115,1099,1214,239,2171,2410,1091,2067,3158,1253,1586,2839,1554,1491,3045,1475,1630,3105,1662,1373,3035,2909,1885,4794,2788,359,3147,5218,2408,7626,3713,211,3924,2122,130,2252,5013,225,5238,4118,811,4929,299,642,941,34196,19120,53316
CED505,377,341,718,391,351,742,275,976,1251,503,2035,2538,2436,1377,3813,2140,1210,3350,2095,1098,3193,2064,1236,3300,2290,978,3268,3933,1363,5296,3341,192,3533,3971,1505,5476,2809,143,2952,1372,88,1460,2658,194,2852,5239,439,5678,992,796,1788,36886,14322,51208
CED506,272,289,561,398,310,708,227,1066,1293,519,2557,3076,3155,1805,4960,2776,1288,4064,2722,1053,3775,2560,1005,3565,2873,698,3571,4866,925,5791,3745,154,3899,3488,712,4200,2265,63,2328,851,23,874,1042,29,1071,4798,370,5168,639,626,1265,37196,12973,50169
CED507,287,331,618,373,407,780,216,1199,1415,399,2876,3275,2422,1877,4299,2144,1400,3544,2136,1176,3312,2281,1277,3558,2421,1035,3456,4530,1405,5935,4447,294,4741,4459,1121,5580,3218,138,3356,1489,73,1562,2173,114,2287,4755,601,5356,590,616,1206,38340,15940,54280
CED508,257,302,559,392,304,696,222,891,1113,452,2458,2910,2803,1625,4428,2651,1419,4070,2644,1274,3918,2924,1338,4262,2957,941,3898,5404,1019,6423,4821,213,5034,3693,587,4280,2298,78,2376,1077,45,1122,1412,57,1469,4867,367,5234,677,608,1285,39551,13526,53077
CED509,259,216,475,298,201,499,149,471,620,327,1185,1512,1686,1128,2814,1884,833,2717,2099,817,2916,2194,910,3104,2530,740,3270,5082,875,5957,4743,184,4927,5190,689,5879,3618,75,3693,1680,41,1721,2571,43,2614,5262,372,5634,447,305,752,40019,9085,49104
