region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED314,43078,114996,1711,2960,480,932,2191,3892,4991,7983,93,149,204,323,16,25,5304,8480,139,189,12,20,52,117,203,326,36,78,50812,127772,4856,0,55668,127772
CED315,40945,115318,1914,3575,1422,2883,3336,6458,5335,8836,1072,1937,1016,1893,55,103,7478,12769,437,722,27,58,44,91,508,871,49,99,52316,135515,6119,0,58435,135515
CED316,43722,111548,2377,3851,452,892,2829,4743,3528,5686,253,437,154,295,44,88,3979,6506,1034,1612,50,129,85,181,1169,1922,23,43,51722,124762,7183,0,58905,124762
CED317,46964,126580,1005,1933,181,339,1186,2272,3472,6153,68,119,86,160,25,63,3651,6495,1327,2202,212,435,244,472,1783,3109,94,211,53678,138667,8437,0,62115,138667
CED318,40183,114069,2616,4910,1895,3915,4511,8825,7237,13335,3028,5622,1363,2570,65,111,11693,21638,702,1253,40,72,152,330,894,1655,105,252,57386,146439,7630,0,65016,146439
CED319,42681,113633,2254,3753,3081,6236,5335,9989,4751,7789,1979,3359,1011,1821,75,129,7816,13098,204,263,0,0,41,116,245,379,22,41,56099,137140,3922,0,60021,137140
CED320,43102,122238,2306,4132,693,1341,2999,5473,1665,2863,367,598,93,171,41,96,2166,3728,585,818,7,9,77,160,669,987,23,48,48959,132474,4857,0,53816,132474
CED321,49691,126050,805,1463,60,138,865,1601,2427,3765,5,5,4,0,16,39,2452,3809,606,1014,126,255,182,389,914,1658,144,328,54066,133446,10783,0,64849,133446
CED322,32416,90302,3685,7336,6556,15295,10241,22631,3110,5440,3670,6540,2556,4736,46,88,9382,16804,201,319,10,10,93,192,304,521,53,98,52396,130356,6073,0,58469,130356
CED323,26782,73316,4481,8608,6519,14790,11000,23398,4353,7634,5862,10356,8991,16178,42,65,19248,34233,662,934,0,0,44,82,706,1016,70,136,57806,132099,11895,0,69701,132099
CED324,39871,114519,1495,3397,4628,11059,6123,14456,3007,5079,1076,1837,267,540,132,257,4482,7713,131,157,4,3,38,81,173,241,22,44,50671,136973,3586,0,54257,136973
CED325,42358,126831,1470,3053,1729,3800,3199,6853,725,1207,113,183,21,44,38,83,897,1517,358,480,5,7,12,38,375,525,19,47,46848,135773,2972,0,49820,135773
CED326,41494,113621,3092,5078,2053,4689,5145,9767,2547,3943,768,1243,1155,1898,35,69,4505,7153,621,904,4,4,41,87,666,995,12,21,51822,131557,4410,0,56232,131557
CED327,46265,142033,1786,3791,4016,8835,5802,12626,1924,3932,44,75,131,280,48,89,2147,4376,131,156,4,5,30,50,165,211,16,47,54395,159293,3127,0,57522,159293
CED328,37916,109552,1362,2663,2216,4904,3578,7567,3485,6531,3613,7060,3073,6033,75,124,10246,19748,8,12,3,6,21,54,32,72,19,29,51791,136968,3599,0,55390,136968
CED329,45043,113800,1227,1926,1138,2108,2365,4034,2860,4363,394,734,159,262,56,92,3469,5451,739,1121,152,308,94,194,985,1623,52,89,51914,124997,10134,0,62048,124997
CED330,43484,125672,466,875,124,254,590,1129,681,1139,44,65,9,13,96,191,830,1408,377,623,47,84,45,106,469,813,21,62,45394,129084,4323,0,49717,129084
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,34649,89383,7903,14749,5084,10341,12987,25090,8471,14000,1274,2069,2911,5050,70,111,12726,21230,7,12,0,0,84,164,91,176,39,69,60492,135948,6661,0,67153,135948
CED402,51879,127325,2551,4506,97,208,2648,4714,2679,3810,23,37,44,76,24,26,2770,3949,409,625,49,104,98,191,556,920,55,122,57908,137030,12807,0,70715,137030
CED403,40459,104282,5223,9151,1191,2501,6414,11652,5178,8050,217,440,82,126,59,88,5536,8704,134,182,8,12,26,63,168,257,7,20,52584,124915,4429,0,57013,124915
CED404,48086,116159,4878,9495,191,407,5069,9902,1818,2469,79,100,150,195,35,54,2082,2818,483,748,78,141,180,417,741,1306,64,143,56042,130328,18180,0,74222,130328
CED405,36794,92661,7532,13204,2147,4520,9679,17724,9308,14743,1159,1989,967,1616,57,94,11491,18442,23,44,3,0,51,96,77,140,22,37,58063,129004,5869,0,63932,129004
CED406,51192,131876,2686,4242,432,925,3118,5167,2139,3192,50,67,11,17,17,22,2217,3298,240,333,0,0,18,28,258,361,26,54,56811,140756,5312,0,62123,140756
CED407,44480,117105,3183,4945,475,1002,3658,5947,1762,2734,8,10,0,3,20,27,1790,2774,4,0,3,3,3,12,10,15,9,19,49947,125860,3111,0,53058,125860
CED408,48915,124677,1686,2521,242,479,1928,3000,936,1382,45,56,18,27,58,93,1057,1558,192,278,41,79,92,193,325,550,30,56,52255,129841,12342,0,64597,129841
CED409,47040,125352,6352,12143,1696,3725,8048,15868,4809,7920,521,930,361,560,48,91,5739,9501,164,226,4,8,93,201,261,435,25,40,61113,151196,4939,0,66052,151196
CED410,42119,108991,5156,9349,1299,2790,6455,12139,6664,10645,261,366,70,106,31,51,7026,11168,63,103,3,4,22,51,88,158,18,27,55706,132483,4873,0,60579,132483
CED411,48857,129581,6226,12660,237,511,6463,13171,2367,3485,80,109,67,95,17,34,2531,3723,184,248,14,33,38,90,236,371,30,62,58117,146908,5254,0,63371,146908
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,47958,131764,2547,4371,573,1102,3120,5473,2283,3520,258,440,141,226,14,25,2696,4211,330,472,19,52,12,25,361,549,20,45,54155,142042,6622,0,60777,142042
CED502,46217,122054,3528,6126,503,931,4031,7057,1888,3317,155,310,159,304,22,44,2224,3975,599,872,40,110,23,51,662,1033,20,38,53154,134157,10881,0,64035,134157
CED503,43429,126912,2620,5333,286,768,2906,6101,994,1620,0,0,11,27,134,266,1139,1913,345,475,3,3,4,14,352,492,4,4,47830,135422,3088,0,50918,135422
CED504,32571,88653,3991,7315,4424,8769,8415,16084,5227,8948,3647,5643,3355,5477,11,14,12240,20082,0,0,3,3,41,85,44,88,45,89,53315,124996,6633,0,59948,124996
CED505,42257,120125,2879,5785,499,1205,3378,6990,2290,3895,73,125,73,150,19,33,2455,4203,2345,4342,205,412,308,718,2858,5472,261,596,51209,137386,12836,0,64045,137386
CED506,44497,115535,2937,4777,408,831,3345,5608,1335,2198,126,196,42,69,40,76,1543,2539,627,977,48,102,73,174,748,1253,39,90,50172,125025,11517,0,61689,125025
CED507,42696,113758,5308,9614,1789,3564,7097,13178,2302,3694,1249,1981,603,939,38,67,4192,6681,215,316,0,3,55,111,270,430,24,50,54279,134097,5340,0,59619,134097
CED508,47120,127845,2864,4995,359,868,3223,5863,2122,3645,114,175,7,21,15,30,2258,3871,405,555,4,3,47,122,456,680,21,39,53078,138298,4184,0,57262,138298
CED509,44834,127667,1683,3165,892,2035,2575,5200,854,1408,450,881,230,417,57,103,1591,2809,82,111,3,0,10,23,95,134,10,13,49105,135823,4005,0,53110,135823
CED510,47037,120133,2416,4368,374,817,2790,5185,1927,3251,26,47,25,35,23,35,2001,3368,729,1147,86,169,147,324,962,1640,89,172,52879,130498,14053,0,66932,130498
CED511,48831,135269,1518,2704,250,613,1768,3317,527,813,0,0,0,0,23,45,550,858,195,315,55,124,28,55,278,494,36,81,51463,140019,7985,0,59448,140019
CED512,35665,91839,6420,12100,3111,6192,9531,18292,4398,7584,3099,5296,5017,8365,22,45,12536,21290,0,3,0,0,110,206,110,209,41,76,57883,131706,6290,0,64173,131706
