CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED140,34,35,93,145,334,749,1051,888,743,4066,3,8,25,32,57,48,61,61,31,331,392,454,870,1001,1217,1309,1462,1444,1138,9290,3606,7479,15004,17445,19547,19173,16536,9613,4744,113165
CED141,52,58,134,176,396,956,1335,1296,796,5202,3,11,21,28,47,46,55,64,30,305,294,360,716,800,1001,1081,1402,1454,836,7939,3960,7994,15525,16988,19413,19048,16661,9801,3833,113224
CED142,38,160,317,189,253,516,629,564,287,2965,16,100,284,134,122,167,177,249,102,1355,1003,3767,8635,4036,2761,2175,1526,841,344,25080,6550,28154,66300,32309,20447,15120,9603,4422,1449,184356
CED143,10,8,45,62,84,217,325,391,307,1450,6,4,27,37,37,39,69,55,46,329,348,477,1611,1525,1266,1058,958,752,710,8704,2674,6969,21340,24233,21440,15571,12097,6533,3531,114391
CED144,34,127,442,630,1092,1764,2355,2098,954,9495,10,98,352,298,570,838,883,888,455,4396,572,798,2011,1567,1469,1284,1095,923,556,10280,5082,12953,29395,23901,21865,17579,11606,7478,3425,133287
CED145,10,13,66,49,51,127,248,382,373,1320,9,8,34,38,26,31,45,70,33,294,380,870,3633,2356,1770,1399,1414,1211,1055,14087,2081,7956,30838,24190,18455,14015,11749,6593,3915,119796
CED146,36,82,366,717,1185,1928,1993,1241,472,8024,23,48,251,383,749,984,707,534,235,3910,750,785,1534,1565,1576,1406,1105,834,481,10032,6099,12289,23419,24114,23138,18054,10324,5144,1801,124365
CED147,44,44,154,233,484,1282,1796,1544,782,6366,5,10,20,47,63,97,173,207,105,738,424,439,904,1050,1307,1339,1611,1482,896,9461,4418,8457,16625,18306,20128,19266,16749,9840,3636,117433
CED194,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
CED197,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
CED201,25,50,157,144,326,648,1217,1139,593,4312,8,32,76,82,122,166,145,151,66,832,263,313,745,734,817,875,842,774,612,5972,3387,9244,17985,18186,19538,17612,11841,6122,2600,106511
CED202,92,103,237,248,447,879,1867,1662,995,6535,3,23,43,57,74,58,41,39,16,359,564,700,1221,1292,1578,1679,1735,1339,779,10878,4234,10070,18169,19146,20883,19789,15720,7879,3411,119296
CED203,32,60,215,281,468,1077,2774,3548,1559,10007,11,50,122,132,192,320,505,894,318,2549,494,903,2440,1833,1563,1229,1247,1231,907,11848,3587,12490,31361,25166,20997,15382,10803,8431,3957,132176
CED204,78,124,273,282,459,832,1720,1693,1074,6531,10,23,93,95,118,97,83,37,19,576,600,648,1510,1503,1748,1871,1861,1540,965,12238,3910,9127,16901,18070,20168,20403,16133,8505,3755,116978
