CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED313,52,354,290,345,536,486,292,342,20,2710,65,301,226,226,430,562,212,464,537,3028,2523,8961,8490,8829,16049,16968,9139,15037,1134,87124
CED314,78,365,263,279,512,483,306,458,22,2764,83,242,144,179,354,352,187,382,442,2355,2383,7352,6007,7927,13266,10244,6594,11696,1050,66522
CED315,74,339,217,323,597,534,284,406,30,2799,91,221,144,193,410,390,137,310,521,2424,2884,7758,5865,8287,15390,12346,7474,11928,1206,73138
CED316,57,256,194,261,427,305,172,249,21,1940,98,223,158,180,304,247,120,235,462,2029,1812,6107,4965,7094,9427,6929,4034,7480,993,48835
CED317,72,292,223,280,520,490,235,450,44,2603,119,259,185,252,336,378,163,374,720,2787,2559,6376,5255,7549,11070,9816,6384,14132,1642,64785
CED318,71,388,304,422,679,589,304,519,46,3327,136,303,220,261,402,427,188,427,684,3050,2836,7478,6775,10534,15800,12968,7698,12386,1573,78047
CED319,62,334,256,365,637,488,275,388,29,2831,78,235,211,203,510,536,185,357,534,2845,2669,7827,7369,8758,16599,15417,7759,11419,1179,78986
CED320,85,315,266,333,584,539,287,421,37,2860,112,300,204,267,572,522,188,451,615,3231,2377,7354,6161,8531,13641,10838,5927,9729,1320,65884
CED321,63,287,168,248,395,447,251,425,16,2301,116,262,134,215,351,368,161,503,662,2779,2437,6738,5189,7139,9756,9391,5528,16282,1497,63948
CED322,62,401,314,386,481,477,229,356,34,2737,107,368,262,349,450,563,201,410,560,3270,2264,8869,7527,9943,12870,12532,5978,10454,1235,71668
CED323,67,403,365,424,542,517,246,366,44,2983,108,369,328,372,527,633,204,498,696,3732,2090,8888,8431,10234,14075,12859,6216,11181,1429,75412
CED324,54,312,342,319,582,470,209,307,37,2627,92,357,383,274,554,540,165,339,614,3327,2201,9109,8647,8374,15156,13703,6345,9502,1305,74343
CED325,67,408,327,402,695,523,309,348,32,3108,103,338,217,308,750,643,218,376,677,3632,2291,7442,6241,8143,16720,13464,6716,9357,1344,71716
CED326,78,338,265,333,608,568,276,361,26,2857,104,315,245,218,618,548,186,384,633,3245,2539,7457,6552,8770,16046,13536,6734,9719,1351,72703
CED327,74,323,292,348,777,613,335,350,40,3158,111,320,294,345,975,762,259,424,873,4359,2363,7515,7086,9199,19073,14290,7026,9115,1730,77387
CED328,50,366,253,284,390,342,187,310,16,2201,64,316,190,195,267,453,109,366,338,2303,2522,10791,7920,7979,12066,14319,7214,12851,936,76603
CED329,69,357,252,299,399,345,174,313,34,2231,124,309,181,288,327,310,122,372,487,2517,2053,7111,5677,7983,8943,7369,4078,8817,1036,53069
CED330,94,378,291,353,546,559,338,518,46,3113,120,350,220,290,564,599,234,595,632,3607,2503,7790,6483,8692,12691,11907,6534,12548,1494,70643
CED394,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
CED397,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
CED401,81,376,297,365,533,380,232,291,19,2579,88,329,186,202,354,323,131,272,490,2370,2610,9951,7908,9217,15534,12288,7266,10785,1100,76669
CED402,74,367,209,257,479,420,246,343,28,2414,124,258,169,187,343,332,114,266,489,2284,2815,8086,6475,8466,11497,10347,6107,10962,1213,65967
