CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED111,817,3273,810,868,125,7932,1133,440,3121,1590,1920,291,8503,66,21,215,116,217,16,657,99,26,269,294,1252,63,2001,95,27,307,181,638,207,1460,5575,2074,14446,8107,17314,1665,49170
CED112,315,1978,562,683,95,4122,443,314,2225,1669,2871,330,7848,17,6,84,109,262,24,513,35,17,154,292,1495,61,2050,39,12,164,197,831,243,1490,1747,1029,8176,7446,20564,1980,40951
CED113,487,1871,607,722,92,4385,457,347,1882,1214,1692,229,5821,58,49,263,146,385,30,934,54,32,184,208,1233,63,1779,86,31,174,179,731,262,1459,3672,1986,10803,7576,19059,2109,45207
CED114,522,2337,693,816,136,4986,412,360,2169,1487,2201,281,6903,11,13,68,69,183,24,360,35,15,127,229,1495,92,1996,42,20,148,171,776,307,1465,1696,1413,9323,6876,21487,2582,43371
CED115,110,1137,372,403,90,2638,424,124,1725,1033,1276,231,4821,16,9,107,80,131,19,360,45,3,183,338,1014,85,1661,88,20,395,330,796,402,2026,2204,519,9937,6464,11588,2028,32740
CED116,578,1809,615,741,94,4386,532,334,2043,1389,2362,281,6941,26,13,128,98,249,34,551,39,20,126,201,1210,55,1657,48,13,165,134,664,238,1270,2015,1487,7851,6430,18633,1794,38204
CED117,704,3146,563,400,107,7869,1865,482,3663,971,787,210,7976,304,102,872,278,242,42,1842,221,78,631,308,655,57,1948,276,62,886,341,389,291,2248,12804,3458,29100,8802,9341,1765,65274
CED118,346,2280,564,630,123,5136,1122,297,3396,1544,1698,284,8353,46,11,126,110,201,30,529,139,36,414,381,1211,80,2265,278,44,669,400,816,349,2556,8086,1655,19179,9913,16012,2394,57243
CED119,546,2970,864,694,140,6398,833,375,2605,1419,1490,243,6963,47,20,222,144,306,29,778,75,40,294,360,1465,59,2289,121,21,393,283,778,236,1827,4870,1857,15707,10028,18735,1858,53056
CED120,441,2384,831,943,103,5607,471,314,1867,1568,2077,237,6535,30,11,107,107,255,27,529,32,20,135,261,1743,73,2275,54,18,207,236,1042,237,1796,2448,1333,9189,8353,23179,2118,46617
