CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED220,294,84,954,367,238,248,143,221,21,2575,3,8,12,5,3,8,10,24,0,74,123,165,86,94,123,74,66,69,9,812,88,106,181,125,127,111,86,154,195,1171,6298,14514,6674,4667,6064,3304,1766,2573,686,46539
CED221,340,56,952,379,235,309,137,332,26,2774,9,8,3,3,7,0,4,13,4,54,97,80,58,89,67,25,41,45,22,521,221,102,243,173,134,132,196,236,183,1614,6255,9471,7528,5526,4195,2294,2030,3026,613,40944
CED222,291,102,889,401,336,304,127,249,35,2736,6,8,12,3,13,6,3,17,0,71,132,167,92,87,131,64,61,56,34,823,117,106,209,120,127,117,126,157,196,1279,7043,14066,7981,5462,6521,3258,2079,2580,776,49767
CED223,235,82,601,295,258,207,53,122,17,1863,3,4,8,3,9,0,0,7,0,33,146,254,70,98,154,61,21,28,35,876,103,106,118,86,106,76,45,70,141,849,7970,19791,6632,4747,6209,2603,956,1637,659,51198
CED224,267,67,473,265,189,157,22,70,10,1519,10,5,7,8,4,5,3,8,3,46,224,316,36,69,160,99,9,21,17,965,109,171,41,46,71,61,8,39,142,684,10981,26276,3270,3495,6454,3378,449,1176,836,56313
CED225,265,92,834,385,361,317,129,200,24,2613,3,5,4,5,0,8,3,4,3,38,132,154,100,108,131,67,62,42,23,816,130,101,245,106,166,123,108,128,184,1299,7307,14191,9964,5759,6683,3205,2116,2655,720,52600
CED226,431,137,1333,637,464,430,440,419,42,4324,12,5,13,18,8,8,21,29,3,109,107,182,135,195,172,91,190,106,38,1213,141,125,269,190,209,146,316,223,316,1936,8121,17708,10512,8835,9839,4759,5271,4512,1202,70751
CED227,333,51,776,310,237,271,83,296,24,2372,9,3,3,3,4,8,9,20,3,57,54,60,35,55,32,24,36,24,13,331,261,108,233,149,112,158,145,299,168,1631,6084,7983,5582,4604,3203,1949,1593,2780,521,34303
CED228,274,91,918,452,289,271,143,227,37,2695,3,12,8,9,8,6,13,22,9,89,125,179,82,117,166,67,75,75,18,902,118,149,189,143,148,121,134,205,212,1413,6894,15754,6517,5032,6385,3260,2137,2922,902,49805
CED229,400,104,1287,581,534,483,281,337,35,4047,5,9,3,9,8,7,9,18,7,77,148,159,129,172,165,55,129,74,23,1060,199,140,379,205,272,193,240,249,219,2099,8003,14768,12860,8531,8336,3974,3756,3805,927,64960
